No    | English        | Vietnamese     
3031  | trust          | niềm tin, sự phó thác; tin, tin cậy, phó thác
3032  | truth          | sự thật        
3033  | try            | thử, cố gắng   
3034  | tube           | ống, tuýp      
3035  | tuesday        | thứ 3          
3036  | tune           | điệu, giai điệu; lên dây, so dây (đàn)
3037  | tunnel         | đường hầm, hang
3038  | turn           | quay, xoay, vặn; sự quay, vòng quay
3039  | twice          | hai lần        
3040  | twin           | sinh đôi, tạo thành cặp; cặp song sinh
3041  | twist          | xoắn, cuộn, quắn; sự xoắn, vòng xoắn
3042  | twisted        | được xoắn, được cuộn
3043  | type           | loại, kiểu,mẫu;phânloại,xếploại
3044  | typical        | tiêu biểu, điển hình, đặc trưng
3045  | typically      | điển hình, tiêu biểu
3046  | tyre           | lốp, vỏ xe     
3047  | ugly           | xấu xí, xấu xa 
3048  | ultimate       | cuối cùng, sau cùng
3049  | ultimately     | cuối cùng, sau cùng
3050  | umbrella       | ô, dù          
3051  | unable         | không có năng lực, không có tài, không thể, không có khẳ năng
3052  | unacceptable   | không chấp nhận được
3053  | uncertain      | thiếu chính xác, không chắc chắn
3054  | uncle          | chú, bác       
3055  | uncomfortable  | bất tiện, khó chịu, không thoải má
3056  | unconscious    | bất tỉnh, không có ý thức, không biết rõ
3057  | uncontrolled   | khôngbị điềukhiển,khôngbị kiểm tra,không bị hạn chế
3058  | under          | dưới,ởdưới;ởphíadưới,vềphíadưới
3059  | underground    | dưới mặt đất, ngầm dưới đất; ngầm
3060  | underneath     | dưới, bên dưới 
3061  | understand     | hiểu, nhận thức
3062  | understanding  | trí tuệ, sự hiểu biết
3063  | underwater     | ở dưới mặt nước, dưới mặt nước
3064  | underwear      | quần lót       
3065  | undo           | tháo, gỡ; xóa bỏ, hủy bỏ
3066  | unemployed     | thất nghiệp; không dùng, không sử dụng được
3067  | unemployment   | sự thất nghiệp, nạn thất nghiệp
3068  | unexpected     | bất ngờ, gây ngạc nhiên
3069  | unexpectedly   | bất ngờ, gây ngạc nhiên
3070  | unfair         | gianlận, khôngcôngbằng;bấtlợi
3071  | unfortunate    | không may, rủi ro, bất hạnh
3072  | unfortunately  | một cách đáng tiếc, một cách không may
3073  | unfriendly     | không thân thiện, không có thiện cảm
3074  | unhappiness    | nỗi buồn, sự bất hạnh
3075  | unhappy        | buồn rầu, khốn khổ
3076  | uniform        | đồngphục;đều,giốngnhấu,đồng dạng
3077  | unimportant    | khônh quan trọng, không trọng đạ
3078  | union          | liên hiệp, sự đoàn kết, sự hiệp nhất
3079  | unique         | độc nhất vô nhị
3080  | unit           | đơn vị         
3081  | unite          | liên kết, hợp nhất, hợp lại, kết thâ
3082  | united         | liên minh, đoàn kết, chung, thống nhất
3083  | universe       | vũ trụ         
3084  | university     | trường đại học 
3085  | unkind         | độc ác, tàn nhẫn
3086  | unknown        | không biết     
3087  | unless         | trừ phi, trừ khi, nếu không
3088  | unlike         | khác, không giống
3089  | unlikely       | không thể xảy ra, không chắc xảy ra
3090  | unload         | cất gánh nặng, dỡ hàng
3091  | unlucky        | không gặp may, bất hạnh
3092  | unnecessary    | không cần thiết, không mong muốn
3093  | unpleasant     | không dễ chịu, khó chịu, khó ưa
3094  | unreasonable   | vô lý          
3095  | unsteady       | không chắc, không ổn định
3096  | unsuccessful   | không thành công, thất bại
3097  | untidy         | không gọn gàng, không ngăn nắp lộn xộn
3098  | unusual        | hiếm, khác thường
3099  | unusually      | cực kỳ, khác thường
3100  | unwilling      | khôngmuốn,khôngcó ýđịnh
3101  | unwillingly    | không sẵn lòng, miễn cưỡng
3102  | up             | ở trên, lên trên, lên
3103  | upon           | trên, ở trên   
3104  | upper          | cao hơn        
3105  | upset          | làm đổ, đánh đổ
3106  | upsetting      | tính đánh đổ, làm đổ
3107  | upstairs       | ở tên gác, cư ngụ ở tầng gác; tần trên, gác
3108  | upward         | lên, hướng lên, đi lên
3109  | upwards        | lên,hướnglên,đilên,vềphíatrên
3110  | urban          | (thuộc) thành phố, khu vực
3111  | urge           | thúc, giục, giục giã; sự thúc đẩy, sự thôi thúc
3112  | urgent         | gấp, khẩn cấp  
3113  | us             | chúng tôi, chúng ta
3114  | useful         | hữu ích, giúp ích
3115  | usual          | thông thường, thường dùng
3116  | usually        | thường thường  
3117  | vacation       | kỳ nghỉ hè, kỳ nghỉ lễ; ngày nghỉ, ngày lễ
3118  | valid          | chắc chắn, hiệu quả, hợp lý
3119  | valley         | thung lũng     
3120  | valuable       | có giá trị lớn, đáng giá
3121  | value          | giá trị, ước tính, định giá
3122  | van            | tiền đội, quân tiên phong; xe tải
3123  | variation      | sự biến đổi, sự thay đổi mức độ, sự khác nhau
3124  | varied         | thuộcnhiềuloạikhácnhau,những vẻđadạng
3125  | variety        | sự đa dạng, trạng thái khác nhau
3126  | various        | khác nhau, thuộc về nhiều loại
3127  | vary           | thay đổi, làm cho khác nhau, biến đổi
3128  | vast           | rộng lớn, mênh mông
3129  | vegetable      | rau, thực vật  
3130  | vehicle        | xe cộ          
3131  | venture        | dự án kinh doanh, công việc kinh doanh; liều, mạo hiểm, cả gan
3132  | version        | bản dịchsangmộtngônngữkhác
3133  | vertical       | thẳng đứng, đứng
3134  | very           | rất, lắm       
3135  | via            | qua, theo đường
3136  | victim         | nạn nhân       
3137  | victory        | chiến thắng    
3138  | video          | video          
3139  | view           | sự nhìn, tầm nhìn; nhìn thấy, xem quan sát
3140  | village        | làng, xã       
3141  | violence       | sự ác liệt, sự dữ dội; bạo lực
3142  | violent        | mãnh liệt, mạnh mẽ, hung dữ
3143  | violently      | mãnh liệt, dữ dội
3144  | virtually      | thực sự, hầu như, gần như
3145  | virus          | vi rút         
3146  | visible        | hữu hình, thấy được
3147  | vision         | sự nhìn, thị lực
3148  | visit          | đi thăm hỏi, đến chơi, tham quan; sự đi thăm, sự thăm viếng
3149  | visitor        | khách, du khách
3150  | vital          | (thuộc) sự sống, cần cho sự sống
3151  | vocabulary     | từ vựng        
3152  | voice          | tiếng, giọng nói
3153  | volume         | thế tích, quyển, tập
3154  | vote           | sự bỏphiếu,sự bầu cử; bỏphiếu,bầucử
3155  | wage           | tiền lương, tiền công
3156  | waist          | eo, chỗ thắt lưng
3157  | wait           | chờ đợi        
3158  | waiter         | người hầu bàn, người đợi, người trông chờ
3159  | waitress       | người hầu bàn, người đợi, người trông chờ
3160  | walk           | đi, đi bộ; sự đi bộ, sự đi dạo
3161  | walking        | sự đi, sự đi bộ
3162  | wall           | tường, vách    
3163  | wallet         | cái ví         
3164  | wander         | đi lang thang; sự đi lang thang
3165  | want           | muốn           
3166  | war            | chiến tranh    
3167  | warm           | ấm, ấm áp; làm cho nóng, hâm nóng
3168  | warmth         | trạng thái ấm, sự ấm áp; hơi ấm
3169  | warn           | báo cho biết, cảnh báo
3170  | warning        | sự báo trước, lời cảnh báo
3171  | wash           | rửa, giặt      
3172  | washing        | sự tắm rửa, sự giặt
3173  | waste          | lãngphí,uổngphí;vùnghoangvusa mạc; bỏhoang
3174  | watch          | nhìn, theo dõi, quan sát; sự canh gác, sự canh phòng
3175  | water          | nước           
3176  | wave           | sóng, gợn nước; gợn sóng, uốn thành sóng
3177  | way            | đường, đường đi
3178  | we             | chúng tôi, chúng ta
3179  | weak           | yếu, yếu ớt    
3180  | weakness       | tình trạng yếu đuối, yếu ớt
3181  | wealth         | sự giàu có, sự giàu sang
3182  | weapon         | vũ khí         
3183  | wear           | mặc, mang, đeo 
3184  | weather        | thời tiết      
3185  | web            | mạng, lưới     
3186  | website        | không gian liên tới với internet
3187  | wedding        | lễ cưới, hôn lễ
3188  | wednesday      | thứ 4          
3189  | week           | tuần, tuần lễ  
3190  | weekend        | cuối tuần      
3191  | weekly         | mỗi tuần một lần, hàng tuần
3192  | weigh          | cân, cân nặng  
3193  | weight         | trọng lượng    
3194  | welcome        | chào mừng, hoan nghênh
3195  | well           | tốt, giỏi; ôi, may quá!
3196  | wellknown      | nổi tiếng, được nhiều người biết đến
3197  | west           | phíatây,theophíatây,vềhướngtây
3198  | western        | về phía tây, của phía tây
3199  | wet            | ướt, ẩm ướt    
3200  | what           | gì, thế nào    
3201  | whatever       | bất cứ thứ gì, bất kể thứ gì
3202  | wheel          | bánh xe        
3203  | when           | khi, lúc, vào lúc nào
3204  | whenever       | bất cứ lúc nào, lúc nào
3205  | where          | đâu, ở đâu; nơi mà
3206  | whereas        | nhưng trái lại, trong khi mà
3207  | wherever       | ở bất cứ nơi nào, ở bất cứ nơi đâ
3208  | whether        | có..không;có...chăng;khôngbiếtcó..không
3209  | which          | nào, bất cứ.. nào; ấy, đó
3210  | while          | trong lúc, trong khi; lúc, chốc, lát
3211  | whilst         | trong lúc, trong khi
3212  | whistle        | sự huýt sáo, sựthổicòi;huýtsáo,thổicòi
3213  | white          | trắng; màu trắng
3214  | who            | ai, người nào, kẻ nào, người như thế nào
3215  | whoever        | ai, người nào, bất cứ ai, bất cứ người nào, dù ai
3216  | whole          | bình an vô sự, không suy suyển, không hư hỏng; toàn bộ, tất cả, toàn thể
3217  | whom           | ai, người nào; người mà
3218  | whose          | của ai         
3219  | why            | tại sao, vì sao
3220  | wide           | rộng, rộng lớn 
3221  | widely         | nhiều, xa; rộng rãi
3222  | width          | tính chất rộng, bề rộng
3223  | wife           | vợ             
3224  | wild           | dại, hoang     
3225  | wildly         | dại, hoang     
3226  | will           | sẽ; ý chí, ý định
3227  | willing        | bằng lòng, vui lòng, muốn
3228  | willingly      | sẵn lòng, tự nguyện
3229  | willingness    | sự bằng lòng, sự vui lòng
3230  | win            | chiếm, đọat, thu được
